time,open,high,low,close,Volume,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-02-13,42244.91,42781.96,41885.61,42074.99,6208.95528,53.15942482237323,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-14,42073.37,42876.15,41570,42548.71,14805.99785,55.16633446376854,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-15,42548.71,44775.96,42433.28,44583.52,14154.74893,62.58232582164365,NaN,NaN,NaN,NaN,62.58232582164365,NaN
2022-02-16,44580.73,44585.69,43330.59,43895.56,9663.45469,59.0273066848967,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-17,43895.55,44195.62,40099.99,40536.73,18630.12277,45.451925120945766,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-18,40537.94,40990.9,39425.07,39983.56,16491.02773,43.67059872787343,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-19,39993.64,40469.82,39655,40101.94,6277.31635,44.17482527954316,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-20,40101.93,40146.07,38000,38389.03,10972.33604,38.767316771182564,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-21,38395.99,39506.91,36811,37023,20970.77827,35.079370862689146,NaN,NaN,35.079370862689146,NaN,NaN,NaN
2022-02-22,37022.11,38469.06,36350,38251.48,22767.10214,40.55606961632273,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-23,38251.67,39276.85,37055,37268.19,15510.12768,37.80687709308497,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-24,37268.18,39720,34322,38347.3,42124.53317,42.4199479499696,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-25,38347.3,39716,38016.44,39238.48,20761.6836,45.98331135721062,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-26,39242.71,40300.5,38592.04,39137.8,8601.68556,45.63967974489207,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-27,39146.97,39875.71,37020,37717.08,14440.25078,40.98521201109521,NaN,NaN,NaN,NaN,NaN,NaN
2022-02-28,37716.57,44240.77,37455.71,43192.66,25699.69871,58.53623649682601,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-01,43189.61,44993.12,42850,44439.95,22596.97541,61.35559462378929,NaN,NaN,NaN,NaN,61.35559462378929,NaN
2022-03-02,44440,45426.45,43342.16,43912.34,17467.00025,59.512202155419615,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-03,43916.47,44096.45,41811,42464.41,19278.29672,54.65883402518069,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-04,42464.41,42524.87,38577.01,39166.51,24080.62029,45.547598096348096,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-05,39166.5,39600,38587.27,39402.43,8440.5306,46.23800365070507,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-06,39407.87,39730.5,38091.02,38408.38,10099.99985,43.72252506673504,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-07,38406.82,39556.58,37161.88,37994,19544.29851,42.68015301879854,NaN,NaN,42.68015301879854,NaN,NaN,NaN
2022-03-08,37991.05,39376.65,37851.54,38749.38,19132.78343,45.242920346912555,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-09,38749.16,42597.84,38655.98,41953.97,24651.68801,54.53073899223693,NaN,NaN,NaN,NaN,54.53073899223693,NaN
2022-03-10,41949.28,42053.84,38560.85,39433.71,20814.02874,47.68096776064412,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-11,39431.4,40251.51,38234.08,38732.04,15908.58979,45.95037075020829,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-12,38732.33,39472.17,38654.02,38813.02,5644.16131,46.19309793733818,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-13,38815.56,39318.19,37580.86,37793.01,8046.39057,43.540735866194204,NaN,NaN,43.540735866194204,NaN,NaN,NaN
2022-03-14,37793.4,39906.39,37560.4,39674.17,13566.82541,49.32030785065098,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-15,39678.51,39900,38135,39298.1,14924.69079,48.25678581265273,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-16,39298.11,41717.67,38850,41127.97,22805.49716,53.50990635173016,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-17,41127.96,41486,40521,40950.33,15717.78861,52.94792984666315,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-18,40950.23,42396.04,40130,41774.98,17181.16671,55.29514161446966,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-19,41781.37,42429,41534.89,42232.26,8630.98736,56.588374711794245,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-20,42232.05,42330.1,40918.72,41287.24,7621.04475,53.165466951021955,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-21,41287.24,41578.33,40509,41017.71,10996.49101,52.19573043434154,NaN,NaN,52.19573043434154,NaN,NaN,NaN
2022-03-22,41017.7,43389.79,40885.19,42378.26,19913.30087,56.50817773133851,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-23,42376.03,43036.95,41766.79,42899.71,13745.29007,58.06942184168175,NaN,NaN,NaN,NaN,NaN,NaN
2022-03-24,42899.71,44241,42627.48,44012.29,21827.94718,61.26446023194028,NaN,NaN,NaN,NaN,NaN,NaN
